,beta,gamma
0,0.9590042822377823,0.9033277913492737
1,0.9077171268251192,0.8541234716008941
2,0.9036854793589606,0.850348170715771
3,0.9201140038696982,0.8668255192781708
4,0.9024473055021315,0.8492006289130871
5,0.9026729124313762,0.8494593547916155
6,0.915264058508213,0.862118016378581
7,0.9206232639314975,0.8674424423289142
8,0.9125023331185018,0.8592633635032447
9,0.9054534264740384,0.8521396810196833
10,0.9200875732375472,0.8668106408680847
11,0.9139876001842758,0.860859028648204
12,0.9163608242990284,0.863399058638062
13,0.9213301851370241,0.8683799386324526
14,0.9221905967189148,0.8692076208159878
15,0.9154006082269965,0.8623329368964843
16,0.9149638505900741,0.861866004436179
17,0.4640590912040455,0.4106457022626714
18,0.48696521516696867,0.4334042613955701
19,0.525494621818271,0.4716582335058167
20,0.5728351213420435,0.518613469311584
21,0.6027209469240412,0.5482236909496974
22,0.623512790234458,0.5688049134789782
23,0.6476740948903377,0.5926988194228624
24,0.6579223509406646,0.602838880129229
25,0.6737911207790693,0.6184911627909921
26,0.6891072088040208,0.633597704138343
27,0.7013726765180051,0.6456836043227883
28,0.7119210946084491,0.6560676364639431
29,0.723058086362701,0.6670209924061572
30,0.7344314965182259,0.6781959184552911
31,0.7421104066244505,0.6857325556736037
32,0.7499295986269222,0.6933995890294489
33,0.7564171282188878,0.6997542904874979
34,0.7627970381183218,0.7059975458467795
35,0.7681387338351383,0.7112193261755115
36,0.7722414273081479,0.7152256133567241
37,0.7757048902329644,0.7186041051481056
38,0.7782788316824919,0.72111213143955
39,0.7804039614711038,0.7231805983580164
40,0.7828743536271718,0.7255830601606337
41,0.7850750594570397,0.727721121195012
42,0.7868162475578915,0.7294108816671685
43,0.7903579849804963,0.7328463605830335
44,0.7931199280798211,0.7355225531865681
45,0.7953643978050067,0.7376952289901607
46,0.7973040017108544,0.7395707516016514
47,0.7993276446208343,0.7415266057338279
48,0.8008719082792959,0.7430158877441417
49,0.8021983438135322,0.7442945678686806
50,0.8030463014175502,0.7451100782015672
51,0.8036268458196816,0.745668039359856
52,0.8038801167594536,0.7459105161850275
53,0.8045258748371379,0.7465314738116238
54,0.8050164973623466,0.7470014253911197
55,0.8054337932213353,0.7474014142435701
56,0.8058210522148814,0.7477717272520324
57,0.8060621183553893,0.7480015772820144
58,0.8062032023588761,0.7481360489756123
59,0.8060850386373515,0.7480219431678099
60,0.8058891343092406,0.7478337098446859
61,0.8059258826934631,0.7478670904605342
62,0.805942158306313,0.747882758755019
63,0.8057922814787462,0.7477389872854489
64,0.8056181574823751,0.747573281949042
65,0.8053660902959513,0.7473310401818902
66,0.8051382974098987,0.7471142480663827
67,0.8048975247770886,0.7468848528463756
68,0.8046063623791149,0.7466076610051168
69,0.8042599189604396,0.7462776727090413
70,0.8039391378758776,0.7459736855587124
71,0.8035601052057182,0.74561417131278
72,0.8031434811698372,0.7452189216283962
73,0.8027142031963841,0.7448128000941473
74,0.8022405005587092,0.7443632506900798
75,0.8018597076835903,0.744003405769983
76,0.8014160325335971,0.7435831630069943
77,0.8009802555577785,0.7431726487133851
78,0.8005073905768436,0.74272654116934
79,0.8000434326482532,0.7422893116791887
80,0.7995558596994632,0.7418299457796207
81,0.7990789846025312,0.7413811200152222
82,0.7986106520652647,0.7409407004145562
83,0.7981290388811185,0.7404874751384775
84,0.7976553174585918,0.7400425359269025
85,0.7972082361033674,0.7396223831854511
86,0.7967967718950899,0.739236424391314
87,0.7963991885015446,0.7388637428619541
88,0.7960079765566299,0.738497278696998
89,0.7956383364042343,0.7381512648906863
90,0.7952735944947907,0.7378100400443832
91,0.7949144050048697,0.7374742604258173
92,0.7945597539004223,0.7371429208023028
93,0.7941348325857076,0.7367382308516176
94,0.7938336328770581,0.7364605401260864
95,0.7935038070214768,0.7361527632691504
96,0.793229459122807,0.7359031230376459
97,0.792905658650445,0.7355983008723265
98,0.7925938551040235,0.7353079112656277
99,0.7923067008424403,0.7350421385192292
100,0.7920062711032196,0.734762503460156
101,0.7917324652844859,0.7345087146743139
102,0.7914758283377052,0.7342722058134654
103,0.7912192804634793,0.7340348619423797
104,0.7909410900076574,0.7337747269320399
105,0.7907043989501514,0.7335565996298874
106,0.7904506184102106,0.7333207660350952
107,0.790206181600926,0.7330939513787472
108,0.7899387127114414,0.7328478456204639
109,0.7897816048985894,0.7327029467536634
110,0.7895976365838459,0.7325323068981644
111,0.7894186655348361,0.7323670114310162
112,0.7892415383886331,0.7322035107678732
113,0.7890765338508473,0.7320541358534355
114,0.7889028955146713,0.7318938198821061
115,0.7864474385367348,0.7294811993297261
116,0.7885816482961028,0.7315952533565038
117,0.7884346096393445,0.7314597252849198
118,0.7882881048832603,0.7313250506723858
119,0.7881471040702714,0.7311953804790997
120,0.7879767709913731,0.7310346196765715
121,0.7878901292226839,0.7309592611052576
122,0.7877691143312806,0.7308481304074705
123,0.7876584409920806,0.7307466174465923
124,0.7875602080968571,0.730659211491206
125,0.7874532393566462,0.7305584716495186
126,0.7873891199532567,0.73050115424602
127,0.7873156120260989,0.7304325430357683
128,0.7872570568877251,0.7303790552117586
129,0.7873806328187521,0.7305261909767438
130,0.7870909293221953,0.7302268648560238
131,0.7871001048649837,0.7302356459359162
132,0.78484874324502,0.7280234398481967
133,0.7870110426288164,0.730154661499813
134,0.7869781567048484,0.7301236058704961
135,0.7853830794590924,0.7286206412594283
136,0.7869043575030212,0.7300559561191581
137,0.7868523946243353,0.7300078813456629
138,0.7868744410347586,0.730034520678719
139,0.7868038839608194,0.7299634854415687
140,0.7867937548829915,0.7299574833357542
141,0.7867728559585699,0.7299389838189342
142,0.7866709248055869,0.7298398753012851
143,0.7867054467791454,0.7298753859872465
144,0.7865872765600386,0.729764438101955
145,0.7866936972316156,0.7298680002852006
146,0.7866370213395402,0.7298137649597221
147,0.7866537556007032,0.7298336481695822
148,0.7866721655684905,0.7298523485442252
149,0.7865859061237588,0.7297690544359028
150,0.7866211666361291,0.7298032929197915
0,0.7610981637260976,0.6957962304305799
1,0.7122434408869609,0.6486003981959407
2,0.6604694849017908,0.5977967112689917
3,0.6886215720094591,0.624700419592934
4,0.7113145531990931,0.6463310158458989
5,0.7358078525315591,0.6696210951955053
6,0.7652901164268218,0.6975803402905165
7,0.7873663102107853,0.7184551420428811
8,0.808696870867594,0.738571223952545
9,0.8263033931731789,0.7551309173745641
10,0.8401340609016331,0.7681064743302246
11,0.8514174008321405,0.778666963712106
12,0.8611439705522521,0.78775026746233
13,0.8700080499494101,0.796010304297222
14,0.876666623669806,0.8022018639855801
15,0.8814067220895265,0.8066018176146256
16,0.8860384998621214,0.8108909468152163
17,0.8896092425863585,0.8141913656430824
18,0.892002835943227,0.8164005195181038
19,0.8941106568570933,0.8183416301242198
20,0.8965326932814159,0.8205720933297422
21,0.8984219629796555,0.8223076325722364
22,0.8994025008790498,0.8232062795904924
23,0.9002212693562324,0.8239570895593523
24,0.9006525783460785,0.8243511304861996
25,0.902741695261682,0.8262602375188108
26,0.9043714407925455,0.8277480804379276
27,0.9055776538686463,0.8288481931012046
28,0.9067941537002482,0.8299557787231494
29,0.9075975613269736,0.8306870606170804
30,0.9083633759083585,0.8313836462933486
31,0.9088213622431995,0.8318009649024696
32,0.9088957256618619,0.8318691414691018
33,0.909050394962631,0.8320118980088388
34,0.9091211658571221,0.8320765079128511
35,0.9091460244150875,0.8321007205791215
36,0.9090735711078708,0.8320372578344881
37,0.9090297814754164,0.8320004493641762
38,0.9087932661409492,0.8317886819503051
39,0.9085688016730559,0.8315893953650788
40,0.9082835633349273,0.8313352743727811
41,0.9081944410747769,0.8312577292423615
42,0.908072118723592,0.8311470835304318
43,0.907887127602356,0.8309860837025111
44,0.9076578502308801,0.830783438853724
45,0.9075393791681519,0.8306820788180294
46,0.9071595367742114,0.8303423550733292
47,0.9068949237256498,0.8301087643510312
48,0.9067272621040453,0.8299652195157396
49,0.9063469923232046,0.8296240363760091
50,0.9060266455983341,0.8293416404301525
51,0.905703856437601,0.8290562856512425
52,0.9054739287619538,0.8288553944248811
53,0.9051103662323645,0.8285332139898236
54,0.9048099404097396,0.8282682031540036
55,0.9048429650156702,0.8283087585717618
56,0.9043019907124612,0.8278224053522368
57,0.9040488761443575,0.8276001735622196
58,0.9038261774231747,0.8274055774885457
59,0.9036204273431887,0.827225020996122
60,0.9034373703420978,0.8270653169178975
61,0.9032622458507287,0.8269121754939062
62,0.9031271282300002,0.8267953309514091
63,0.9029834251013955,0.8266705346472862
64,0.9029345888143527,0.8266334635467684
65,0.9025843584492719,0.8263183495999691
66,0.902571519343744,0.8263133671186711
67,0.9025460594668351,0.8262951522691464
68,0.90245931129956,0.8262237496605531
69,0.9020801298444561,0.8258858069010222
70,0.9022067823466895,0.8260086298840417
71,0.9018658282297886,0.8257009354870388
72,0.9017543716065073,0.8256041423019478
73,0.9017262324140938,0.8255837404569448
74,0.9017098326775396,0.8255715414390957
75,0.9016441743245145,0.8255199419876983
76,0.9015787919894785,0.8254639299136581
77,0.9015612194679248,0.8254523894008448
78,0.9014571546646168,0.8253622746145755
79,0.9012643836693336,0.8251904332666935
80,0.9011933927115968,0.8251303261424022
81,0.9010995439854466,0.8250487624966601
82,0.9010543903595969,0.8250113160590112
83,0.9011772581545369,0.8251282099383028
84,0.9009899712869605,0.8249592275944231
85,0.9009787256684004,0.8249522682708936
86,0.9009941846629217,0.8249700416793506
87,0.9009274815742785,0.8249120673316677
88,0.9008717499742496,0.8248647137802809
89,0.9008268625539788,0.8248257005591003
90,0.9007178444819017,0.8247293517060909
91,0.9005516866658357,0.8245806392621575
92,0.9007914113052266,0.8248005557770839
93,0.9008421338074135,0.8248514456959957
94,0.900772564116343,0.8247788448491176
95,0.9007436506388303,0.8247657893684515
96,0.9007099929840464,0.8247405174758973
97,0.9006989952786739,0.8247300882337049
98,0.9008054348912037,0.8248287708231766
99,0.9007533668294205,0.824783213684666
100,0.900758624316364,0.8247890139628429
101,0.9007702392400359,0.8248011446945454
102,0.9007169328271482,0.8247555555586294
103,0.9004061216713255,0.8244688263046624
104,0.9005447714910872,0.8245990758074875
105,0.9000533030611604,0.8241553394247885
106,0.9009467680859135,0.8249697741713751
107,0.9009638917954017,0.8249918267932004
108,0.9007459964935147,0.8247827925854101
109,0.9007806813596977,0.824821361522543
110,0.9014353005564144,0.8254229147246529
111,0.9001500675644694,0.8242493004042546
112,0.900763728931399,0.8248218996931185
113,0.9007570116130885,0.8248052982876168
114,0.9007251826154157,0.8247766793719119
115,0.9008908612084046,0.8249393187923195
0,0.4942578021384791,0.4526112969828637
1,0.5194713578846806,0.47711219123199183
2,0.5446829850024336,0.5015545854146182
3,0.5670568981093577,0.5231951984281068
4,0.5832892546883209,0.5388609518294382
5,0.5946251976422906,0.5497791752243804
6,0.60657875412502,0.5612724545091237
7,0.6165180857036446,0.5708112690258403
8,0.6245745680571836,0.5785297232894304
9,0.6321915056474563,0.5858149459390392
10,0.6388380688481003,0.5921615459988445
11,0.6438732735595094,0.5969618385526613
12,0.6446273833964155,0.5976772122542892
13,0.644837973016597,0.5978750984574048
14,0.6450316268130454,0.5980563560438255
